ograss1,1152,1184,00348CBB,0,1,1,4294967295,0,0
owall1,800,0,003FF915,0,1,1,4294967295,0,0
owall1,800,32,0013EC8D,0,1,1,4294967295,0,0
owall1,800,64,00011B3D,0,1,1,4294967295,0,0
owall1,800,96,000383D7,0,1,1,4294967295,0,0
owall1,800,160,000A8EF4,0,1,1,4294967295,0,0
owall1,800,192,002A12C2,0,1,1,4294967295,0,0
owall1,800,224,002E90F6,0,1,1,4294967295,0,0
owall1,800,448,003D007E,0,1,1,4294967295,0,0
owall1,800,416,002730B0,0,1,1,4294967295,0,0
owall1,800,576,000FE74E,0,1,1,4294967295,0,0
owall1,832,576,0031B340,0,1,1,4294967295,0,0
owall1,800,512,003AAA95,0,1,1,4294967295,0,0
owall1,800,480,00315D1F,0,1,1,4294967295,0,0
owall1,800,288,0006E59B,0,1,1,4294967295,0,0
owall1,800,256,002F6252,0,1,1,4294967295,0,0
owall1,832,0,002B8C0A,0,1,1,4294967295,0,0
owall1,864,0,002904EB,0,1,1,4294967295,0,0
owall1,896,0,000AAEDC,0,1,1,4294967295,0,0
owall1,928,0,000D36F8,0,1,1,4294967295,0,0
owall1,992,0,0021D082,0,1,1,4294967295,0,0
owall1,1024,0,0028F1ED,0,1,1,4294967295,0,0
owall1,1056,0,001C3649,0,1,1,4294967295,0,0
owall1,1184,0,001D5872,0,1,1,4294967295,0,0
owall1,1216,0,002C9682,0,1,1,4294967295,0,0
owall1,1248,0,001AD2D5,0,1,1,4294967295,0,0
owall1,1280,0,003C8742,0,1,1,4294967295,0,0
owall1,1312,0,001B472C,0,1,1,4294967295,0,0
owall1,1344,0,0002DEF0,0,1,1,4294967295,0,0
owall1,1120,0,003C43E2,0,1,1,4294967295,0,0
owall1,1152,0,0019A813,0,1,1,4294967295,0,0
owall1,1376,0,00094A43,0,1,1,4294967295,0,0
owall1,1408,0,00245B14,0,1,1,4294967295,0,0
owall1,1472,0,003B9456,0,1,1,4294967295,0,0
owall1,1504,0,000C3B5D,0,1,1,4294967295,0,0
owall1,1536,0,003B9A87,0,1,1,4294967295,0,0
owall1,1568,0,0028E93B,0,1,1,4294967295,0,0
owall1,1568,32,000B8D9F,0,1,1,4294967295,0,0
